Name,Year,Rating,Liked,Watch Date,Runtime,Rewatched,Letterboxd URI
Nope,2022,2.0,,,,,https://letterboxd.com/film/nope/
Nosferatu,2024,4.0,,,,,https://letterboxd.com/film/nosferatu-2024/
Ocean's Eleven,2001,4.0,,,,,https://letterboxd.com/film/oceans-eleven-2001/
Oddity,2024,4.0,,2026-03-15T00:00:00.000000Z,98,Yes,https://letterboxd.com/film/oddity-2024/
Oldboy,2003,2.0,,,,,https://letterboxd.com/film/oldboy/
Olympus Has Fallen,2013,2.5,,,,,https://letterboxd.com/film/olympus-has-fallen/
One Battle After Another,2025,4.5,,2026-02-07T00:00:00.000000Z,162,,https://letterboxd.com/film/one-battle-after-another/
Paranormal Activity,2007,3.5,,2026-03-25T00:00:00.000000Z,86,,https://letterboxd.com/film/paranormal-activity/
Parasite,2019,4.0,,,,,https://letterboxd.com/film/parasite-2019/
Possessor,2020,2.0,,2026-03-19T00:00:00.000000Z,103,,https://letterboxd.com/film/possessor/
Predator: Badlands,2025,4.0,,,,,https://letterboxd.com/film/predator-badlands/
Prey,2022,4.0,,,,,https://letterboxd.com/film/prey-2022/
Primate,2025,3.5,,2026-02-22T00:00:00.000000Z,89,,https://letterboxd.com/film/primate-2025/
Prisoners,2013,4.0,,,,,https://letterboxd.com/film/prisoners/
Pulp Fiction,1994,5.0,,,,,https://letterboxd.com/film/pulp-fiction/
Raiders of the Lost Ark,1981,5.0,,,,,https://letterboxd.com/film/raiders-of-the-lost-ark/
Re-Animator,1985,4.0,,2025-10-27T00:00:00.000000Z,86,,https://letterboxd.com/film/re-animator/
Ready or Not,2019,3.5,,,,,https://letterboxd.com/film/ready-or-not-2019/
Repo Man,1984,3.5,,,,,https://letterboxd.com/film/repo-man/
Reservoir Dogs,1992,4.5,,,,,https://letterboxd.com/film/reservoir-dogs/
Riders of Justice,2020,5.0,,,,,https://letterboxd.com/film/riders-of-justice/
Rogue,2007,1.5,,,,,https://letterboxd.com/film/rogue/
Roofman,2025,3.0,,2026-02-27T00:00:00.000000Z,126,,https://letterboxd.com/film/roofman/
Sand Castle,2017,3.0,,,,,https://letterboxd.com/film/sand-castle-2017/
Saving Private Ryan,1998,3.5,,,,,https://letterboxd.com/film/saving-private-ryan/
Scream,1996,4.5,,,,,https://letterboxd.com/film/scream/
Scream 2,1997,4.0,,,,,https://letterboxd.com/film/scream-2/
Send Help,2026,2.5,,2026-04-04T00:00:00.000000Z,113,,https://letterboxd.com/film/send-help/
Shang-Chi and the Legend of the Ten Rings,2021,3.0,,,,,https://letterboxd.com/film/shang-chi-and-the-legend-of-the-ten-rings/
Shaun of the Dead,2004,4.5,,,,,https://letterboxd.com/film/shaun-of-the-dead/
Sinners,2025,4.5,,,,,https://letterboxd.com/film/sinners-2025/
Spectral,2016,3.0,,,,,https://letterboxd.com/film/spectral/
Spider-Man: Across the Spider-Verse,2023,4.0,,,,,https://letterboxd.com/film/spider-man-across-the-spider-verse/
Spider-Man: Into the Spider-Verse,2018,4.0,,,,,https://letterboxd.com/film/spider-man-into-the-spider-verse/
Spirited Away,2001,2.0,,,,,https://letterboxd.com/film/spirited-away/
Splinter,2008,2.5,,,,,https://letterboxd.com/film/splinter-2008/
Stake Land,2010,2.0,,,,,https://letterboxd.com/film/stake-land/
Star Wars: The Force Awakens,2015,3.5,,,,,https://letterboxd.com/film/star-wars-the-force-awakens/
Stopmotion,2023,3.0,,2026-03-21T00:00:00.000000Z,94,,https://letterboxd.com/film/stopmotion/
Strange Darling,2023,4.0,,,,,https://letterboxd.com/film/strange-darling/
Strange Harvest,2024,4.0,,,,,https://letterboxd.com/film/strange-harvest-2024/
Suicide Squad,2016,1.5,,,,,https://letterboxd.com/film/suicide-squad-2016/
Sweetheart,2019,4.0,,,,,https://letterboxd.com/film/sweetheart-2019/
Talk to Me,2022,4.0,,,,,https://letterboxd.com/film/talk-to-me-2022/
